Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Eirik :)),2023-05-04 18:49:17,00:00:52,Autoplayed: user action: None; ,Lucifer: Sesong 5: Lucifer! Lucifer! Lucifer! (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:58,Not latest view,NO (Norway)
Eirik :)),2023-05-04 18:16:45,00:32:28,,Lucifer: Sesong 5: Really Sad Devil Guy (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:50:03,00:50:03,NO (Norway)
Eirik :)),2023-05-03 19:19:56,00:17:29,,Lucifer: Sesong 5: Really Sad Devil Guy (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:17:35,Not latest view,NO (Norway)
Eirik :)),2023-05-03 18:46:32,00:33:09,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Who's da New King of Hell? (Episode 10),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:54:18,00:54:18,NO (Norway)
Eirik :)),2023-05-03 17:45:00,00:18:16,,Lucifer: Sesong 4: Who's da New King of Hell? (Episode 10),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:19:16,Not latest view,NO (Norway)
Eirik :)),2023-05-03 16:53:58,00:47:29,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Save Lucifer (Episode 9),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:50:53,00:50:53,NO (Norway)
Eirik :)),2023-05-02 20:18:20,00:36:37,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Super Bad Boyfriend (Episode 8),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:50:23,00:50:23,NO (Norway)
Eirik :)),2023-05-02 20:17:55,00:00:11,Autoplayed: user action: None; ,Sesong 1 (Klipp): Goldin: Samleren,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:11,00:00:11,NO (Norway)
Eirik :)),2023-04-30 14:04:06,00:00:08,,8 Mile,,Google Chromecast V5 Streaming Stick,01:44:33,01:44:33,NO (Norway)
Eirik :)),2023-04-30 14:03:48,00:00:10,,8 Mile,,Google Chromecast V5 Streaming Stick,01:44:24,Not latest view,NO (Norway)
Eirik :)),2023-04-30 08:37:37,00:13:41,,Lucifer: Sesong 4: Super Bad Boyfriend (Episode 8),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:13:47,Not latest view,NO (Norway)
Eirik :)),2023-04-30 07:51:36,00:45:37,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Devil Is as Devil Does (Episode 7),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:47:34,00:47:34,NO (Norway)
Eirik :)),2023-04-30 07:16:43,00:34:48,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Orgy Pants to Work (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:48:48,00:48:48,NO (Norway)
Eirik :)),2023-04-29 16:16:45,00:14:43,,Lucifer: Sesong 4: Orgy Pants to Work (Episode 6),,Safari MAC (Cadmium),00:14:43,Not latest view,NO (Norway)
Eirik :)),2023-04-29 13:49:51,00:00:04,Autoplayed: user action: None; ,Lucifer: Sesong 4: Orgy Pants to Work (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:10,Not latest view,NO (Norway)
Eirik :)),2023-04-29 13:03:11,00:46:21,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Expire Erect (Episode 5),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:48:56,00:48:56,NO (Norway)
Eirik :)),2023-04-29 12:58:08,00:04:59,,Lucifer: Sesong 4: All About Eve (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:47:29,00:47:29,NO (Norway)
Eirik :)),2023-04-29 09:53:01,00:17:35,,Lucifer: Sesong 4: All About Eve (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:42:32,Not latest view,NO (Norway)
Eirik :)),2023-04-28 19:55:11,00:24:36,,Lucifer: Sesong 4: All About Eve (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:24:42,Not latest view,NO (Norway)
Eirik :)),2023-04-28 19:19:22,00:35:38,Autoplayed: user action: User_Interaction; ,"Lucifer: Sesong 4: O, Ye of Little Faith, Father (Episode 3)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:48:01,00:48:01,NO (Norway)
Eirik :)),2023-04-28 15:28:59,01:46:07,,The Bourne Ultimatum,,Safari MAC (Cadmium),01:46:07,01:46:07,NO (Norway)
Eirik :)),2023-04-28 15:28:53,00:00:04,Autoplayed: user action: None; ,The Bourne Ultimatum_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:04,00:00:04,NO (Norway)
Eirik :)),2023-04-28 10:50:10,00:08:12,,The Bourne Supremacy,,Safari MAC (Cadmium),01:42:08,01:42:08,NO (Norway)
Eirik :)),2023-04-28 09:07:01,00:20:29,,The Bourne Supremacy,,Safari MAC (Cadmium),01:33:56,Not latest view,NO (Norway)
Eirik :)),2023-04-27 20:08:02,00:50:26,,The Bourne Supremacy,,Safari MAC (Cadmium),01:13:26,Not latest view,NO (Norway)
Eirik :)),2023-04-27 16:50:08,00:23:00,,The Bourne Supremacy,,Safari MAC (Cadmium),00:23:00,Not latest view,NO (Norway)
Eirik :)),2023-04-27 16:49:37,00:00:29,Autoplayed: user action: None; ,The Bourne Supremacy_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:29,00:00:29,NO (Norway)
Eirik :)),2023-04-27 16:48:45,00:00:10,Autoplayed: user action: None; ,Drive_hook_05_16x9,HOOK,Safari MAC (Cadmium),00:00:10,00:00:10,NO (Norway)
Eirik :)),2023-04-27 16:48:02,00:00:06,Autoplayed: user action: None; ,Mission: Impossible - Ghost Protocol_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:06,Not latest view,NO (Norway)
Eirik :)),2023-04-27 16:44:34,00:00:31,Autoplayed: user action: None; ,Miniserie (Klipp): Sykepleieren,HOOK,Safari MAC (Cadmium),00:00:31,00:00:31,NO (Norway)
Eirik :)),2023-04-24 20:34:12,00:11:51,,"Lucifer: Sesong 4: O, Ye of Little Faith, Father (Episode 3)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:11:57,Not latest view,NO (Norway)
Eirik :)),2023-04-24 20:01:01,00:32:46,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Somebody’s Been Reading Dante’s Inferno (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:48:20,00:48:20,NO (Norway)
Eirik :)),2023-04-24 14:03:42,00:13:30,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Somebody’s Been Reading Dante’s Inferno (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:13:36,Not latest view,NO (Norway)
Eirik :)),2023-04-24 13:16:02,00:47:18,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 4: Everything's Okay (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:47:15,00:47:15,NO (Norway)
Eirik :)),2023-04-24 13:08:11,00:07:10,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Once Upon a Time (Episode 26),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:00,00:43:00,NO (Norway)
